"X","name","result.category","result.published_year"
1047,"Ingerana borealis","VU",2004
1048,"Ingerana reticulata","DD",2020
1049,"Ingerophrynus galeatus","LC",2017
1050,"Ingerophrynus ledongensis","NT",2020
1051,"Ingerophrynus macrotis","LC",2017
1052,"Iole propinqua","LC",2016
1053,"Irena puella","LC",2016
1054,"Ithaginis cruentus","LC",2016
1055,"Ixobrychus cinnamomeus","LC",2016
1056,"Ixobrychus eurhythmus","LC",2016
1057,"Ixobrychus flavicollis","LC",2016
1058,"Ixobrychus minutus","LC",2019
1059,"Ixobrychus sinensis","LC",2016
1060,"Ixos mcclellandii","LC",2016
1061,"Japalura tricarinata","LC",2021
1062,"Jynx torquilla","LC",2017
1063,"Kalophrynus interlineatus","LC",2004
1064,"Kaloula borealis","LC",2020
1065,"Kaloula nonggangensis","DD",2020
1066,"Kaloula pulchra","LC",2004
1067,"Kaloula rugifera","LC",2020
1068,"Kaloula verrucosa","LC",2020
1069,"Kerilia jerdoni","LC",2010
1070,"Kerivoula furva","LC",2021
1071,"Kerivoula picta","NT",2020
1072,"Kerivoula titania","LC",2019
1073,"Ketupa flavipes","LC",2018
1074,"Ketupa zeylonensis","LC",2016
1075,"Kittacincla malabarica","LC",2021
1076,"Kogia breviceps","LC",2020
1077,"Kogia sima","LC",2020
1078,"Kurixalus eiffingeri","LC",2022
1079,"Kurixalus idiootocus","LC",2020
1080,"Kurixalus lenquanensis","NT",2020
1081,"Kurixalus naso","DD",2004
1082,"Kurixalus odontotarsus","LC",2004
1083,"Kurixalus verrucosus","LC",2004
1084,"Kurochkinegramma hypogrammica","LC",2016
1085,"Lacerta agilis","LC",2021
1086,"Lagenodelphis hosei","LC",2018
1087,"Lagenorhynchus obliquidens","LC",2018
1088,"Lagopus lagopus","LC",2016
1089,"Lagopus muta","LC",2016
1090,"Lagurus lagurus","LC",2016
1091,"Lalage melaschistos","LC",2018
1092,"Lanius borealis","LC",2017
1093,"Lanius bucephalus","LC",2017
1094,"Lanius collurio","LC",2017
1095,"Lanius collurioides","LC",2016
1096,"Lanius cristatus","LC",2016
1097,"Lanius excubitor","LC",2019
1098,"Lanius giganteus","LC",2018
1099,"Lanius isabellinus","LC",2016
1100,"Lanius minor","LC",2016
1101,"Lanius phoenicuroides","LC",2016
1102,"Lanius schach","LC",2016
1103,"Lanius sphenocercus","LC",2016
1104,"Lanius tephronotus","LC",2016
1105,"Lanius tigrinus","LC",2016
1106,"Larus brunnicephalus","LC",2018
1107,"Larus cachinnans","LC",2018
1108,"Larus canus","LC",2019
1109,"Larus crassirostris","LC",2018
1110,"Larus ichthyaetus","LC",2018
1111,"Larus relictus","VU",2017
1112,"Larus ridibundus","LC",2018
1113,"Larus smithsonianus","LC",2019
1114,"Larvivora brunnea","LC",2019
1115,"Larvivora cyane","LC",2016
1116,"Larvivora ruficeps","EN",2017
1117,"Larvivora sibilans","LC",2016
1118,"Lasiopodomys brandtii","LC",2016
1119,"Lasiopodomys fuscus","LC",2019
1120,"Lasiopodomys mandarinus","LC",2016
1121,"Laticauda colubrina","LC",2010
1122,"Laticauda laticaudata","LC",2010
1123,"Laticauda semifasciata","NT",2010
1124,"Laudakia papenfussi","LC",2019
1125,"Laudakia sacra","LC",2019
1126,"Laudakia wui","LC",2019
1127,"Leiolepis reevesii","LC",2021
1128,"Leioptila annectens","LC",2016
1129,"Leiothrix argentauris","LC",2016
1130,"Leiothrix lutea","LC",2017
1131,"Leopoldamys edwardsi","LC",2016
1132,"Lepidochelys olivacea","VU",2008
1133,"Leptobrachella alpina","NT",2020
1134,"Leptobrachella bijie","DD",2020
1135,"Leptobrachella liui","LC",2021
1136,"Leptobrachella maoershanensis","NT",2020
1137,"Leptobrachella oshanensis","LC",2004
1138,"Leptobrachella pelodytoides","LC",2004
1139,"Leptobrachella pluvialis","EN",2017
1140,"Leptobrachella purpura","DD",2020
1141,"Leptobrachella purpuraventra","DD",2020
1142,"Leptobrachella shangsiensis","NT",2021
1143,"Leptobrachella sungi","LC",2017
1144,"Leptobrachella tengchongensis","EN",2020
1145,"Leptobrachella ventripunctata","LC",2022
1146,"Leptobrachella wuhuangmontis","DD",2020
1147,"Leptobrachella yingjiangensis","DD",2020
1148,"Leptobrachella yunkaiensis","DD",2020
1149,"Leptobrachium ailaonicum","NT",2004
1150,"Leptobrachium boringii","EN",2020
1151,"Leptobrachium chapaense","LC",2021
1152,"Leptobrachium hainanense","VU",2020
1153,"Leptobrachium huashen","LC",2021
1154,"Leptobrachium leishanense","EN",2020
1155,"Leptobrachium liui","LC",2020
1156,"Leptobrachium promustache","DD",2008
1157,"Leptobrachium tengchongense","EN",2020
1158,"Leptopoecile elegans","LC",2018
1159,"Leptopoecile sophiae","LC",2016
1160,"Leptoptilos javanicus","VU",2017
1161,"Lepus comus","LC",2019
1162,"Lepus coreanus","LC",2019
1163,"Lepus hainanus","EN",2016
1164,"Lepus mandshuricus","LC",2019
1165,"Lepus oiostolus","LC",2019
1166,"Lepus sinensis","LC",2019
1167,"Lepus tibetanus","LC",2019
1168,"Lepus timidus","LC",2019
1169,"Lepus tolai","LC",2019
1170,"Lepus yarkandensis","NT",2016
1171,"Lerwa lerwa","LC",2016
1172,"Leucosticte arctoa","LC",2018
1173,"Leucosticte brandti","LC",2018
1174,"Leucosticte nemoricola","LC",2018
1175,"Lewinia striata","LC",2016
1176,"Limnodromus semipalmatus","NT",2016
1177,"Limnonectes fragilis","VU",2020
1178,"Limnonectes fujianensis","LC",2020
1179,"Limnonectes kuhlii","LC",2004
1180,"Limnonectes limborgi","LC",2017
1181,"Limnonectes liui","VU",2020
1182,"Limnonectes taylori","LC",2017
1183,"Limosa limosa","NT",2017
1184,"Linaria cannabina","LC",2018
1185,"Linaria flavirostris","LC",2017
1186,"Liocichla omeiensis","VU",2017
1187,"Liocichla phoenicea","LC",2016
1188,"Liocichla ripponi","LC",2016
1189,"Liocichla steerii","LC",2016
1190,"Lioparus chrysotis","LC",2017
1191,"Liopeltis frenatus","LC",2012
1192,"Lipotes vexillifer","CR",2017
1193,"Liua shihi","LC",2020
1194,"Liua tsinpaensis","VU",2020
1195,"Liuixalus feii","LC",2020
1196,"Liuixalus hainanus","VU",2020
1197,"Liuixalus ocellatus","VU",2020
1198,"Liuixalus romeri","EN",2020
1199,"Liuixalus shiwandashan","DD",2020
1200,"Liurana alpina","VU",2020
1201,"Liurana medogensis","DD",2020
1202,"Liurana vallecula","DD",2020
1203,"Liurana xizangensis","VU",2020
1204,"Locustella alishanensis","LC",2016
1205,"Locustella chengi","LC",2017
1206,"Locustella davidi","LC",2016
1207,"Locustella lanceolata","LC",2017
1208,"Locustella luscinioides","LC",2016
1209,"Locustella luteoventris","LC",2016
1210,"Locustella major","NT",2017
1211,"Locustella mandelli","LC",2017
1212,"Locustella naevia","LC",2017
1213,"Locustella tacsanowskia","LC",2016
1214,"Locustella thoracica","LC",2017
1215,"Lonchura atricapilla","LC",2016
1216,"Lonchura punctulata","LC",2016
1217,"Lonchura striata","LC",2016
