Family,Species,Species_origin,Sample_Male_Famle,Male_size_mm,Female_size_mm,Male_mass_g,Female_mass_g,Clutch_size,References
Scincidae,Plestiodon capito,Plestiodon capito,NA,67,69.95,5.888437,6.76083,NA,Zhao 2003
Scincidae,Plestiodon chinensis,Plestiodon chinensis,"622+,155+",100.45,96.91,21.87762,19.49845,19.3,"Ji 1994, Zhao et al. 1999, Lin & Ji 2000, Zhao 2003 Shu 2004, Shi et al. 2011, Shen et al. 2014"
Scincidae,Plestiodon elegans,Plestiodon elegans,"180+,110+",75.91,71.21,8.912509,7.24436,6.4,"Fan et al. 1997, Zhao et al. 1999, Du & Ji 2001, Zhao 2003, , Zhang & Ji 2004, Cai 2010, Shen et al. 2014"
Scincidae,Plestiodon liui,Plestiodon liui,"1,1",61,66.8,4.365158,5.888437,NA,"Scharf & Meiri 2013, Cai et al. 2019"
Scincidae,Plestiodon quadrilineatus,Plestiodon quadrilineatus,"1,1",72,80,7.413102,10.47129,2,"Zhao et al. 1999, Yang et al. 2019"
Scincidae,Plestiodon takarai,Plestiodon takarai,"4,5",72,70.12,7.413102,6.91831,6.5,Kurita et al. 2017
Scincidae,Plestiodon tamdaoensis,Plestiodon tamdaoensis,NA,122.5,129,41.68694,48.97788,NA,Hikida et al. 2001
Scincidae,Plestiodon tunganus,Plestiodon tunganus,NA,69.55,64.5,6.606934,5.248075,11,Zhao 2003
Scincidae,Scincella doriae,Scincella doriae,"2,2",47.4,50,1.949845,2.290868,4,Zhao et al. 1999
Scincidae,Scincella huanrenensis,Scincella huanrenensis,"3,5",49.67,54.8,2.238721,3.090295,NA,Zhao et al. 1999
Scincidae,Scincella modesta,Scincella modesta,"26+,17+",42.55,47.05,1.348963,1.905461,9.1,"Zhao 2003, Luo et al. 2012, Lu & Li 2002"
Scincidae,Scincella monticola,Scincella monticola,NA,52.2,52,2.630268,2.630268,6,"Zhao 2003, Yang & Rao. 2008"
Scincidae,Scincella potanini,Scincella potanini,"5+,10+",51.95,59.3,2.570396,3.981072,NA,"Zhao et al. 1999, Zhao 2003"
Scincidae,Scincella reevesii,Scincella reevesii,"3,4",41.33,41.25,1.230269,1.230269,NA,"Zhao 2003, Shi et al. 2011, Mo et al. 2012"
