iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Sterna_anaethetus,Sterna_anaethetus,0,0,365,1.5,6,3,71.86,29.36,1,5,0,1,0
Sterna_fuscata,Sterna_fuscata,0,0,210,1.5,6,3,59.07,50.31,1,5,1,1,0
Chlidonias_hybrida,Chlidonias_hybrida,0,0,151.5,3,6,8,812.72,29.61,1,4,0,1,0
Chlidonias_leucopterus,Chlidonias_leucopterus,0,0,137.15,3,6,5,961.58,50.05,1,4,1,0,0
Chlidonias_niger,Chlidonias_niger,0,0,158.75,3,6,5,197.51,52.12,1,4,0,0,0
Anous_stolidus,Anous_stolidus,0,0,200,1.5,6,3,28.08,61.1,1,5,1,1,0
Synthliboramphus_antiquus,Synthliboramphus_antiquus,1,0,155.15,1,6,1,133.06,12.12,1,5,0,0,0
Syrrhaptes_tibetanus,Syrrhaptes_tibetanus,0,0,209.5,3,1,6,202.29,32.38,1,5,1,0,0
Syrrhaptes_paradoxus,Syrrhaptes_paradoxus,0,0,330.5,3,1,8,611.08,37.99,1,5,0,0,0
Pterocles_orientalis,Pterocles_orientalis,1,0,311.5,1.5,1,1,166,19.9,1,5,1,1,0
Columba_livia,Columba_livia,0,0,316.15,1,3,1,516.11,32.88,1,1,1,0,0
Columba_rupestris,Columba_rupestris,0,0,301.15,1,3,1,819.56,35.15,1,1,1,1,0
Columba_leuconota,Columba_leuconota,0,0,315.5,1,3,1,288.86,36.52,1,1,0,0,0
Columba_oenas,Columba_oenas,0,0,301.5,1,3,1,166,31.81,1,1,1,0,0
Columba_palumbus,Columba_palumbus,0,0,215,1,3,1,166,30.12,1,1,0,0,0
Columba_hodgsonii,Columba_hodgsonii,0,0,351.15,1,1,1,173.77,32.09,1,1,0,1,0
Columba_pulchricollis,Columba_pulchricollis,0,0,375,1,3,1,161.82,30.19,1,1,0,0,0
Columba_punicea,Columba_punicea,3,1,352,1,3,1,113.76,16.3,1,1,1,0,2
Streptopelia_turtur,Streptopelia_turtur,0,0,161.5,1,3,1,519.56,33.27,1,1,0,0,0
Streptopelia_orientalis,Streptopelia_orientalis,0,0,312.75,1,1,1,961.58,31.07,1,1,1,0,1
Streptopelia_decaocto,Streptopelia_decaocto,0,0,198.75,1,1,1,551.68,31.11,1,3,0,0,0
Streptopelia_tranquebarica,Streptopelia_tranquebarica,0,0,119.15,1,1,5,796.58,18.63,1,1,1,2,0
Spilopelia_chinensis,Spilopelia_chinensis,0,0,302.15,1,1,3,595.51,17.51,1,3,0,1,1
Spilopelia_senegalensis,Spilopelia_senegalensis,0,0,169,1,3,1,166,17.61,1,1,0,1,0
Macropygia_unchall,Macropygia_unchall,1,0,359.5,1,3,1,155.62,30.19,1,1,0,0,1
Macropygia_tenuirostris,Macropygia_tenuirostris,0,0,385,3.5,3,1,3.61,37.61,1,1,0,2,0
Macropygia_ruficeps,Macropygia_ruficeps,0,0,310,1,3,1,39,33.63,1,3,0,2,0
Chalcophaps_indica,Chalcophaps_indica,0,0,132.15,1,1,1,156.72,17.89,1,1,0,1,1
Treron_bicinctus,Treron_bicinctus,1,0,163.75,1,3,1,7.16,18.3,1,3,0,2,0
