Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Lophophorus_lhuysii,0.83,2.69,25.5
Tragopan_melanocephalus,0.77,1.53,22.06
Tragopan_satyra,0.83,1.74,23.55
Tragopan_blythii,0.84,1.81,21.9
Tragopan_temminckii,0.77,1.49,20.92
Tragopan_caboti,0.79,1.48,20.57
Ithaginis_cruentus,0.71,1.84,17.7
Pucrasia_macrolopha,0.81,1.19,19.23
Syrmaticus_ellioti,0.7,1.79,13.56
Syrmaticus_humiae,0.65,1.61,12.34
Syrmaticus_mikado,0.67,1.7,13.02
Syrmaticus_soemmerringii,0.73,1.84,12.9
Syrmaticus_reevesii,0.67,1.71,13.48
Chrysolophus_pictus,0.58,0.95,15.05
Chrysolophus_amherstiae,0.72,1.23,16.33
Phasianus_colchicus,0.48,1.09,19.36
Phasianus_versicolor,0.58,0.89,22.19
Crossoptilon_crossoptilon,0.74,2.06,20.58
Crossoptilon_harmani,0.74,2.06,20.59
Crossoptilon_mantchuricum,0.64,1.66,18.25
Crossoptilon_auritum,0.68,1.78,18.83
Catreus_wallichii,0.6,1.52,16.48
Lophura_leucomelanos,0.7,1.7,15.14
Lophura_nycthemera,0.75,1.96,16.86
Lophura_edwardsi,0.78,2.07,17.07
Lophura_swinhoii,0.72,1.89,18.3
Lophura_inornata,0.87,2.71,19.29
Lophura_erythrophthalma,0.8,2.17,16.4
Lophura_pyronota,0.47,1.36,13.22
Lophura_ignita,0.75,2.07,18.36
Lophura_rufa,0.47,1.36,13.22
Lophura_diardi,0.76,1.99,16.57
Lophura_bulweri,0.89,3.07,19.17
Perdix_perdix,0.34,0.91,7.57
Perdix_dauurica,0.48,0.7,5.45
Perdix_hodgsoniae,0.66,1.61,9.28
Meleagris_gallopavo,0.48,1.56,17.71
Meleagris_ocellata,0.45,1.49,15.9
Bonasa_umbellus,0.41,1.05,9.63
Bonasa_bonasia,0.48,1.17,10.47
Bonasa_sewerzowi,0.56,1.3,9.84
Lagopus_lagopus,0.48,1.02,10.26
Lagopus_muta,0.58,1.27,12.04
Lagopus_leucura,0.6,1.27,11.37
Dendragapus_obscurus,0.62,1.42,16.85
Dendragapus_fuliginosus,0.62,1.42,16.61
