AVES_PASSERIFORMES_PASSERIDAE_Passer_cinnamomeus	AVES_PASSERIFORMES_PASSERIDAE_Passer_cinnamomeus
AVES_CUCULIFORMES_CUCULIDAE_Phaenicophaeus_tristis	AVES_CUCULIFORMES_CUCULIDAE_Phaenicophaeus_tristis
AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_intensior	AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_davisoni
AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_intermedius	AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Seicercus_affinis
AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_tristis	AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_tristis
AVES_PICIFORMES_PICIDAE_Picoides_funebris	AVES_PICIFORMES_PICIDAE_Picoides_funebris
AVES_PICIFORMES_PICIDAE_Picus_guerini	AVES_PICIFORMES_PICIDAE_Picus_guerini
AVES_PASSERIFORMES_TIMALIIDAE_Pomatorhinus_phayrei	AVES_PASSERIFORMES_TIMALIIDAE_Pomatorhinus_phayrei
AVES_PASSERIFORMES_CISTICOLIDAE_Prinia_sonitans	AVES_PASSERIFORMES_CISTICOLIDAE_Prinia_sonitans
AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_asiaticus	AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_asiaticus
AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_cyanotis	AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_cyanotis
AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_faber	AVES_PICIFORMES_MEGALAIMIDAE_Megalaima_faber
AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_faiostrictus	AVES_PICIFORMES_MEGALAIMIDAE_Megalaima_faiostricta
AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_franklinii	AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_franklinii
AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_lineatus	AVES_PICIFORMES_MEGALAIMIDAE_Megalaima_lineata
AVES_PASSERIFORMES_SYLVIIDAE_Psittiparus_bakeri	AVES_PASSERIFORMES_SYLVIIDAE_Paradoxornis_bakeri
AVES_GRUIFORMES_RALLIDAE_Rallus_indicus	AVES_GRUIFORMES_RALLIDAE_Rallus_indicus
AVES_COLUMBIFORMES_COLUMBIDAE_Ramphiculus_leclancheri	AVES_COLUMBIFORMES_COLUMBIDAE_Ptilinopus_leclancheri
AVES_PASSERIFORMES_SYLVIIDAE_Rhopophilus_albosuperciliaris	AVES_PASSERIFORMES_SYLVIIDAE_Rhopophilus_albosuperciliaris
AVES_PASSERIFORMES_PYCNONOTIDAE_Rubigula_flaviventris	AVES_PASSERIFORMES_PYCNONOTIDAE_Pycnonotus_flaviventris
