taxa	binomial	name	count	result.accepted_id	result.authority	result.synonym	result.syn_authority
AVES_PASSERIFORMES_SCOTOCERCIDAE_Horornis_brunnescens	Horornis brunnescens	Horornis brunnescens	1	22735325	(Hume, 1872)	Cettia_brunnescens	(Hume, 1872)
AVES_PASSERIFORMES_SCOTOCERCIDAE_Horornis_canturians	Horornis canturians	Horornis canturians	1	22714376	(Swinhoe, 1860)	Cettia_canturians	(Swinhoe, 1860)
AVES_PASSERIFORMES_SCOTOCERCIDAE_Horornis_diphone	Horornis diphone	Horornis diphone	1	22714380	(Kittlitz, 1830)	Cettia_diphone	(Kittlitz, 1830)
AVES_PASSERIFORMES_SCOTOCERCIDAE_Horornis_flavolivaceus	Horornis flavolivaceus	Horornis flavolivaceus	1	105295705	(Blyth, 1845)	Horornis_vulcania	(Blyth, 1870)
AVES_PASSERIFORMES_SCOTOCERCIDAE_Horornis_fortipes	Horornis fortipes	Horornis fortipes	1	22714408	(Hodgson, 1845)	Cettia_fortipes	(Hodgson, 1845)
AVES_CHARADRIIFORMES_JACANIDAE_Hydrophasianus_chirurgus	Hydrophasianus chirurgus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_PITTIDAE_Hydrornis_cyaneus	Hydrornis cyaneus	Hydrornis cyaneus	1	22698617	(Blyth, 1843)	Pitta_cyanea	Blyth, 1843
AVES_PASSERIFORMES_PITTIDAE_Hydrornis_nipalensis	Hydrornis nipalensis	Hydrornis nipalensis	1	22698602	(Hodgson, 1837)	Pitta_nipalensis	(Hodgson, 1837)
AVES_PASSERIFORMES_PITTIDAE_Hydrornis_oatesi	Hydrornis oatesi	Hydrornis oatesi	1	22698608	Hume, 1873	Pitta_oatesi	(Hume, 1873)
AVES_PASSERIFORMES_PITTIDAE_Hydrornis_phayrei	Hydrornis phayrei	Hydrornis phayrei	1	22698599	(Blyth, 1863)	Pitta_phayrei	(Blyth, 1863)
AVES_PASSERIFORMES_PITTIDAE_Hydrornis_soror	Hydrornis soror	Hydrornis soror	1	22698605	(Wardlaw-Ramsay, 1881)	Pitta_soror	Wardlaw-Ramsay, 1881
AVES_PASSERIFORMES_MONARCHIDAE_Hypothymis_azurea	Hypothymis azurea	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_PYCNONOTIDAE_Hypsipetes_amaurotis	Hypsipetes amaurotis	Hypsipetes amaurotis	1	22713192	(Temminck, 1830)	Ixos_amaurotis	(Temminck, 1830)
AVES_PASSERIFORMES_PYCNONOTIDAE_Hypsipetes_leucocephalus	Hypsipetes leucocephalus	NA	NA	NA	NA	NA	NA
AVES_CHARADRIIFORMES_IBIDORHYNCHIDAE_Ibidorhyncha_struthersii	Ibidorhyncha struthersii	NA	NA	NA	NA	NA	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Icthyophaga_humilis	Icthyophaga humilis	Icthyophaga humilis	1	22695156	(Müller & Schlegel, 1841)	Ichthyophaga_humilis	NA
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Ictinaetus_malaiensis	Ictinaetus malaiensis	Ictinaetus malaiensis	1	22696019	(Temminck, 1822)	Ictinaetus_malayensis	NA
AVES_PASSERIFORMES_ACROCEPHALIDAE_Iduna_caligata	Iduna caligata	Iduna caligata	1	22714891	(Lichtenstein, 1823)	Hippolais_caligata	(Lichtenstein, 1823)
AVES_PASSERIFORMES_ACROCEPHALIDAE_Iduna_rama	Iduna rama	Iduna rama	1	22714894	(Sykes, 1832)	Hippolais_rama	(Sykes, 1832)
AVES_PICIFORMES_INDICATORIDAE_Indicator_xanthonotus	Indicator xanthonotus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_PYCNONOTIDAE_Iole_propinqua	Iole propinqua	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_IRENIDAE_Irena_puella	Irena puella	NA	NA	NA	NA	NA	NA
AVES_GALLIFORMES_PHASIANIDAE_Ithaginis_cruentus	Ithaginis cruentus	NA	NA	NA	NA	NA	NA
AVES_PELECANIFORMES_ARDEIDAE_Ixobrychus_cinnamomeus	Ixobrychus cinnamomeus	NA	NA	NA	NA	NA	NA
AVES_PELECANIFORMES_ARDEIDAE_Ixobrychus_eurhythmus	Ixobrychus eurhythmus	NA	NA	NA	NA	NA	NA
AVES_PELECANIFORMES_ARDEIDAE_Ixobrychus_flavicollis	Ixobrychus flavicollis	Ixobrychus flavicollis	1	22697334	(Latham, 1790)	Dupetor_flavicollis_flavicollis	Sibley and Monroe (1990, 1993)
AVES_PELECANIFORMES_ARDEIDAE_Ixobrychus_minutus	Ixobrychus minutus	NA	NA	NA	NA	NA	NA
AVES_PELECANIFORMES_ARDEIDAE_Ixobrychus_sinensis	Ixobrychus sinensis	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_PYCNONOTIDAE_Ixos_mcclellandii	Ixos mcclellandii	Ixos mcclellandii	1	22713207	(Horsfield, 1840)	Hypsipetes_mcclellandii	Horsfield, 1840
AVES_PICIFORMES_PICIDAE_Jynx_torquilla	Jynx torquilla	NA	NA	NA	NA	NA	NA
AVES_STRIGIFORMES_STRIGIDAE_Ketupa_flavipes	Ketupa flavipes	NA	NA	NA	NA	NA	NA
AVES_STRIGIFORMES_STRIGIDAE_Ketupa_zeylonensis	Ketupa zeylonensis	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_MUSCICAPIDAE_Kittacincla_malabarica	Kittacincla malabarica	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica	Kurochkinegramma hypogrammica	Kurochkinegramma hypogrammica	3	22717680	(Müller, 1843)	Arachnothera_hypogrammica	(Müller, 1843)
AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica	Kurochkinegramma hypogrammica	Kurochkinegramma hypogrammica	3	22717680	(Müller, 1843)	Arachnothera_hypogrammicum	NA
AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica	Kurochkinegramma hypogrammica	Kurochkinegramma hypogrammica	3	22717680	(Müller, 1843)	Hypogramma_hypogrammicum	Müller, 1843
AVES_GALLIFORMES_PHASIANIDAE_Lagopus_lagopus	Lagopus lagopus	NA	NA	NA	NA	NA	NA
AVES_GALLIFORMES_PHASIANIDAE_Lagopus_muta	Lagopus muta	Lagopus muta	3	22679464	(Montin, 1776)	Lagopus_mutus	BirdLife International (2004)
