Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype,Archetype_without_mass,Archetype_without_activity
Alopoglossus festae,0,0,0,0,0,0.205,0.794,Terrestrial,Terrestrial,Terrestrial
Alopoglossus viridiceps,0,0,0,0,0,0.204,0.796,Terrestrial,Terrestrial,Terrestrial
Alsophylax laevis,0,0,0.761,0,0.046,0,0.193,Nocturnal,Nocturnal,Scansorial
Alsophylax loricatus,0,0,0.341,0,0,0,0.659,Terrestrial,Nocturnal,Terrestrial
Alsophylax pipiens,0,0,0.791,0,0.04,0,0.169,Nocturnal,Nocturnal,Scansorial
Alsophylax przewalskii,0,0,0.744,0,0.049,0,0.207,Nocturnal,Nocturnal,Scansorial
Alsophylax szczerbaki,0,0,0.718,0,0.054,0,0.227,Nocturnal,Nocturnal,Scansorial
Alsophylax tadjikiensis,0,0,0.328,0,0,0,0.672,Terrestrial,Nocturnal,Terrestrial
Altiphylax baturensis,0,0,0.894,0,0.02,0,0.086,Nocturnal,Nocturnal,Scansorial
Altiphylax levitoni,0,0,0.814,0,0.036,0,0.15,Nocturnal,Nocturnal,Scansorial
Altiphylax stoliczkai,0,0,0.874,0,0.024,0,0.102,Nocturnal,Nocturnal,Scansorial
Altiphylax tokobajevi,0,0,0.447,0,0,0.001,0.552,Terrestrial,Nocturnal,Terrestrial
Amalosia jacovae,0,0,0.901,0,0.019,0,0.08,Nocturnal,Nocturnal,Scansorial
Amalosia lesueurii,0,0,0.986,0,0.003,0,0.011,Nocturnal,Nocturnal,Scansorial
Amalosia obscura,0,0,0.904,0,0.018,0,0.078,Nocturnal,Nocturnal,Scansorial
Amalosia rhombifer,0,0,0.986,0,0.003,0,0.011,Nocturnal,Nocturnal,Scansorial
Amapasaurus tetradactylus,0,0,0,0.005,0,0,0.995,Terrestrial,Terrestrial,Terrestrial
Amblyrhynchus cristatus,0.815,0,0,0,0,0.185,0,Aquatic,Aquatic,Aquatic
Ameiva ameiva,0,0,0,0,0,0.53,0.47,Large,Terrestrial,Large
Ameiva atrigularis,0,0,0,0,0,0.503,0.497,Large,Terrestrial,Large
Ameiva bifrontata,0,0,0,0,0,0.4,0.599,Terrestrial,Terrestrial,Terrestrial
Ameiva pantherina,0,0,0,0,0,0.445,0.555,Terrestrial,Terrestrial,Terrestrial
Ameiva parecis,0,0,0,0,0,0.308,0.692,Terrestrial,Terrestrial,Terrestrial
Ameiva praesignis,0,0,0,0,0,0.566,0.433,Large,Terrestrial,Large
Ameiva provitaae,0,0,0,0,0,0.414,0.586,Terrestrial,Terrestrial,Terrestrial
Ameiva reticulata,0,0,0,0,0,0.439,0.561,Terrestrial,Terrestrial,Terrestrial
Ameivula jalapensis,0,0,0,0,0,0.194,0.806,Terrestrial,Terrestrial,Terrestrial
Ameivula mumbuca,0,0,0,0,0,0.198,0.802,Terrestrial,Terrestrial,Terrestrial
Ameivula nativo,0,0,0,0,0,0.24,0.76,Terrestrial,Terrestrial,Terrestrial
Ameivula nigrigula,0,0,0,0,0,0.308,0.692,Terrestrial,Terrestrial,Terrestrial
Ameivula ocellifera,0.004,0,0.018,0.729,0,0.249,0,Scansorial,Scansorial,Scansorial
Ameivula pyrrhogularis,0,0,0,0,0,0.306,0.694,Terrestrial,Terrestrial,Terrestrial
Amphibolurus centralis,0.003,0,0.015,0.775,0,0.207,0,Scansorial,Scansorial,Scansorial
Amphibolurus muricatus,0.004,0,0.019,0.706,0,0.271,0,Scansorial,Scansorial,Scansorial
Amphibolurus norrisi,0,0.772,0,0,0,0.228,0,Herbivorous,Herbivorous,Herbivorous
Amphiglossus astrolabi,0.953,0,0,0,0,0.047,0,Aquatic,Aquatic,Aquatic
Amphisbaena alba,0,0,0,0,0.626,0.374,0,Fossorial,Fossorial,Fossorial
Amphisbaena anomala,0,0,0,0,0.844,0.156,0,Fossorial,Fossorial,Fossorial
Amphisbaena bassleri,0,0,0,0,0.719,0.281,0,Fossorial,Fossorial,Fossorial
Amphisbaena camura,0,0,0,0,0.73,0.27,0,Fossorial,Fossorial,Fossorial
Amphisbaena dubia,0,0,0,0,0.897,0.103,0,Fossorial,Fossorial,Fossorial
Amphisbaena fuliginosa,0,0,0,0,0.747,0.253,0,Fossorial,Fossorial,Fossorial
Amphisbaena gonavensis,0,0,0.023,0,0.95,0.027,0,Fossorial,Fossorial,Fossorial
Amphisbaena hastata,0,0,0,0.125,0.875,0,0,Fossorial,Fossorial,Fossorial
Amphisbaena hyporissor,0,0,0,0,0.867,0.133,0,Fossorial,Fossorial,Fossorial
Amphisbaena ibijara,0,0,0,0,0.928,0.073,0,Fossorial,Fossorial,Fossorial
Amphisbaena manni,0,0,0.022,0,0.95,0.029,0,Fossorial,Fossorial,Fossorial
Amphisbaena medemi,0,0,0.037,0,0.963,0,0,Fossorial,Fossorial,Fossorial
Amphisbaena pericensis,0,0,0,0,0,0.072,0.928,Terrestrial,Terrestrial,Terrestrial
Amphisbaena polystegum,0,0,0,0,0.707,0.293,0,Fossorial,Fossorial,Fossorial
